State,SO2 Annual average,SO2 Std. Dev.,NO2 Annual average,NO2 Std. Dev.,PM10 Annual average,PM10 Std. Dev.
Andhra Pradesh,7,3,19,5,77,28
Assam,6,1,14,2,74,42
Bihar,5,3,47,28,174,104
Chandigarh,2,0,16,9,102,50
Chattisgarh,12,1,27,2,173,18
Delhi,5,2,57,16,222,116
Goa,10,5,18,5,100,45
Gujarat,15,3,25,5,88,17
Haryana,13,5,25,9,146,50
Himachal Pradesh,3,2,12,6,88,45
Jammu and Kashmir,5,2,12,3,107,23
Jharkhand,23,6,39,9,197,51
Karnataka,11,4,21,6,71,35
Kerala,4,1,14,3,42,14
Madhya Pradesh,12,4,18,5,135,53
Maharashtra,18,7,33,11,111,50
Manipur,0,0,0,0,0,0
Meghalaya,17,10,10,4,89,18
Mizoram,2,0,5,0,57,8
Nagaland,2,0,6,2,82,37
Orissa,4,1,19,5,96,28
Punjab,10,2,26,5,156,33
Puducherry,7,1,16,1,42,10
Rajasthan,7,6,31,39,165,185
Sikkim,0,0,0,0,0,0
Tamilnadu,10,5,22,11,77,37
Uttar Pradesh,13,2,30,8,163,39
Uttarakhand,21,2,24,2,158,57
West Bengal,11,5,57,17,127,78
